Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 96005,Highest monthly temperature in degrees C                                                                                                                                                                ,1967     ,         ,         ,         ,         ,     17.8,     10.0,      7.1,      9.6,     11.8,     19.3,     21.4,     23.8,         ,QC,#
dx, 96005,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1967     ,         ,         ,         ,         ,     -5.6,     -1.8,     -3.9,     -4.3,     -3.2,     -3.7,     -1.3,     -1.1,         ,QC,#
dx, 96005,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1968     ,      0.6,      0.4,      0.5,     -1.4,     -8.3,     -3.8,     -4.7,     -5.3,     -3.8,     -3.8,     -1.1,     -1.3,     -8.3,QC,#
dx, 96005,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1969     ,      0.8,      0.3,      0.6,     -2.5,     -4.7,     -7.8,     -3.9,     -3.1,     -4.1,     -3.4,     -0.9,     -1.0,     -7.8,QC,#
dx, 96005,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1970     ,      3.3,     -1.9,      0.0,     -0.6,     -5.6,     -6.7,     -7.8,     -5.6,     -5.6,     -3.3,     -1.9,     -0.6,     -7.8,QC,#
dx, 96005,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1971     ,      3.3,      1.1,     -0.3,     -0.3,     -1.7,     -3.9,     -6.1,     -3.9,     -2.5,     -2.7,     -1.4,      1.1,     -6.1,QC,#
dx, 96005,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1972     ,      0.6,      3.1,     -2.5,     -2.8,     -4.2,     -8.3,     -6.7,     -6.1,     -8.0,     -3.5,     -2.5,     -1.0,     -8.3,QC,#
dx, 96005,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1973     ,      0.5,      0.0,     -0.2,     -0.5,     -1.0,     -6.0,     -7.0,     -5.3,     -3.0,     -2.4,     -3.0,      1.0,     -7.0,QC,#
dx, 96005,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1974     ,      1.5,      2.5,      1.5,     -1.5,     -4.5,     -5.0,     -5.0,     -8.5,     -4.0,     -5.0,     -3.5,      1.0,     -8.5,QC,#
dx, 96005,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1975     ,     -1.0,      0.0,      0.0,     -4.0,     -3.0,     -3.0,     -3.0,     -2.5,     -3.0,     -3.5,      0.0,      1.0,     -4.0,QC,#
dx, 96005,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1976     ,      0.5,      1.0,      0.5,     -1.5,     -3.0,     -6.0,     -7.5,     -6.0,     -3.5,     -4.0,     -0.5,      2.0,     -7.5,QC,#
dx, 96005,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1977     ,      0.5,     -0.5,      4.5,     -1.5,     -2.5,         ,         ,         ,         ,         ,         ,         ,         ,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1926     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,     16.6,         ,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1927     ,     18.6,     17.3,     13.1,      9.6,      7.1,      3.8,      4.8,      4.6,      8.4,     12.7,     15.6,     16.8,     11.0,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1928     ,     18.5,         ,     17.0,     12.8,         ,         ,         ,         ,         ,         ,         ,     16.9,         ,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1929     ,     13.7,     20.1,     12.7,     10.3,         ,         ,         ,         ,      6.7,         ,     13.1,     13.6,         ,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1930     ,     17.3,     20.4,     15.6,     11.2,      9.0,      5.8,      6.1,      6.2,      7.2,     13.0,     11.7,     17.9,     11.8,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1931     ,     12.9,     16.0,     14.8,      9.8,         ,         ,         ,         ,      7.0,      9.4,     11.6,     18.3,         ,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1932     ,     15.6,     14.8,     14.2,     11.6,         ,         ,         ,         ,         ,         ,         ,         ,         ,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1933     ,         ,         ,         ,      8.9,      7.3,      6.2,      5.4,      3.8,         ,         ,     15.2,     16.8,         ,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1934     ,     19.6,     18.5,     16.7,     11.3,         ,         ,         ,         ,         ,         ,         ,     16.6,         ,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1935     ,     16.1,     17.4,     12.8,     13.9,      7.6,      5.1,         ,         ,         ,         ,     12.9,     19.1,         ,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1936     ,     19.8,     17.3,     15.3,      9.9,      8.1,      5.4,         ,         ,         ,      9.6,     12.8,     17.2,         ,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1937     ,     13.4,     18.4,     16.4,     12.4,      7.7,         ,         ,         ,      8.8,     13.0,     17.4,     14.9,         ,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1938     ,     16.4,     15.4,     15.2,     13.1,      9.6,         ,         ,         ,         ,     11.5,     15.4,     13.6,         ,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1939     ,     19.2,     18.9,     16.4,     11.9,      9.8,         ,         ,         ,         ,     10.4,     12.8,     12.9,         ,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1940     ,     15.0,     12.6,     17.1,     10.2,      7.4,         ,         ,         ,         ,     11.2,     14.1,     15.8,         ,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1941     ,     17.9,     16.1,     12.1,     11.3,      7.3,         ,         ,         ,         ,         ,     12.7,     17.3,         ,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1942     ,     13.5,         ,         ,         ,         ,         ,         ,         ,         ,         ,     14.8,     16.8,         ,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1943     ,     14.8,     15.1,     14.6,         ,         ,         ,         ,         ,         ,         ,         ,     16.1,         ,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1944     ,     17.8,     15.8,     13.9,      8.0,         ,         ,         ,         ,         ,      9.9,         ,     13.7,         ,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1945     ,     15.8,     14.4,     10.4,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1949     ,         ,         ,         ,         ,         ,         ,         ,         ,      8.3,     10.1,     13.2,     12.6,         ,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1950     ,     14.6,     17.8,     15.8,         ,         ,      5.4,      5.8,      6.0,      9.3,     12.4,     14.1,         ,         ,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1951     ,         ,         ,     14.1,         ,      7.3,      4.8,      4.0,      2.9,      7.7,     10.1,     11.1,     14.8,         ,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1952     ,     14.8,     12.3,     12.6,      8.7,         ,      4.5,      4.2,      4.4,         ,     10.7,     12.2,     17.1,         ,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1953     ,     17.1,     18.2,     15.1,         ,      8.7,      3.7,      3.5,      4.7,      7.3,     10.8,     11.6,     13.1,         ,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1954     ,     21.6,     15.1,     11.8,     11.5,         ,         ,         ,      5.1,      9.3,     11.1,     14.1,     16.6,         ,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1955     ,     17.6,     17.7,     15.2,     11.0,         ,      4.7,      4.3,      4.8,      8.2,      9.9,      9.3,     16.0,         ,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1956     ,     17.8,     19.8,     15.8,     10.2,      8.7,      5.0,      3.4,      3.6,      8.0,      8.9,      9.3,     10.5,     10.1,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1967     ,         ,         ,         ,         ,      7.6,      6.9,      5.2,      5.3,      7.0,     10.2,     11.3,     13.8,         ,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1968     ,     18.3,     17.0,     15.1,     10.4,      5.5,      3.9,      4.0,      4.5,      5.7,      8.0,      8.3,     14.6,      9.6,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1969     ,     17.0,     16.7,     14.9,     10.0,      7.7,      4.3,      5.2,      6.7,      5.4,     11.7,     13.8,     12.5,     10.5,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1970     ,     16.8,     16.5,     15.3,     11.2,      6.9,      6.0,      4.1,      4.4,      5.3,      8.1,     13.9,     13.9,     10.2,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1971     ,     17.8,     19.1,     16.4,     12.4,      7.6,      5.4,      5.0,      4.0,      6.1,      7.9,     12.4,     13.6,     10.6,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1972     ,     17.2,     19.3,     14.8,     11.9,      9.1,      5.8,      3.9,      6.0,      8.8,     11.3,     14.0,     13.8,     11.3,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1973     ,     16.0,     16.8,     11.7,     11.4,      8.1,      3.4,      4.9,      5.5,      8.2,     11.6,     12.2,     15.5,     10.4,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1974     ,         ,         ,         ,     10.5,      9.5,      6.3,      4.6,      5.1,      5.9,     10.6,     11.3,     12.3,         ,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1975     ,     14.3,     17.9,     12.1,     10.6,      7.8,      5.0,      5.3,      5.5,      8.0,      9.8,     12.1,     16.8,     10.4,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1976     ,     16.4,     17.2,     13.4,      9.9,      7.5,      5.6,      4.4,      4.8,      7.7,      8.7,     12.2,     12.2,     10.0,QC,#
dx, 96005,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1977     ,     16.7,     17.1,     13.8,      9.0,      7.2,         ,         ,         ,         ,         ,         ,         ,         ,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1926     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,      4.2,         ,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1927     ,      4.7,      3.6,      2.3,      1.1,      0.7,     -2.1,     -1.4,     -0.7,     -0.8,      1.6,      2.6,      4.3,      1.3,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1928     ,      5.9,         ,      4.8,      3.6,         ,         ,         ,         ,         ,         ,         ,      4.0,         ,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1929     ,      4.2,      7.4,      3.9,      3.0,         ,         ,         ,         ,     -0.1,         ,      2.2,      3.1,         ,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1930     ,      3.2,      5.5,      4.6,      2.1,      1.7,     -1.3,      1.4,     -0.8,      0.0,      2.4,      2.0,      5.3,      2.2,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1931     ,      3.2,      3.8,      4.6,      1.3,         ,         ,         ,         ,     -0.4,      0.8,      2.1,      3.1,         ,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1932     ,      4.3,      4.5,      4.7,      4.2,         ,         ,         ,         ,         ,         ,         ,         ,         ,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1933     ,      3.4,         ,      3.6,      1.8,      1.4,      0.8,     -0.3,     -0.7,         ,         ,      2.4,      4.2,         ,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1934     ,      5.3,      4.9,      5.4,      2.6,         ,         ,         ,         ,         ,         ,         ,      4.8,         ,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1935     ,      4.7,      6.3,      2.8,      3.6,      0.4,     -0.2,         ,         ,         ,         ,      2.1,      4.3,         ,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1936     ,      5.9,      5.4,      4.8,      1.7,      1.3,     -1.2,         ,         ,         ,      0.6,      1.3,      5.8,         ,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1937     ,      3.6,      6.2,      4.4,      0.8,      0.1,         ,         ,         ,      1.2,      2.2,      3.4,      4.9,         ,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1938     ,      5.4,      5.6,      4.9,      3.5,      2.2,         ,         ,         ,         ,      1.2,      3.0,      2.6,         ,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1939     ,      4.4,      5.4,      4.1,      4.8,      3.3,         ,         ,         ,         ,      0.8,      2.8,      2.4,         ,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1940     ,      3.8,      2.6,      4.4,      1.4,      0.4,         ,         ,         ,         ,      0.7,      2.5,      4.6,         ,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1941     ,      4.8,      4.4,      4.1,      3.6,      0.8,         ,         ,         ,         ,         ,      1.9,      3.8,         ,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1942     ,      4.1,         ,         ,         ,         ,         ,         ,         ,         ,         ,      2.2,      4.7,         ,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1943     ,      4.7,      4.4,      3.2,         ,         ,         ,         ,         ,         ,         ,         ,      2.8,         ,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1944     ,      5.0,      4.1,      2.8,      0.7,         ,         ,         ,         ,         ,      0.7,         ,      3.8,         ,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1945     ,      4.3,      3.8,      1.9,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1950     ,         ,         ,      4.1,         ,         ,     -0.8,      0.2,     -0.6,      1.2,      2.6,      2.4,         ,         ,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1951     ,      8.1,         ,      5.2,         ,      2.1,     -0.8,     -0.1,     -1.7,      0.1,      0.8,      1.4,      3.3,         ,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1952     ,      4.1,      4.2,      4.7,      1.9,         ,      0.3,     -0.8,     -1.7,      0.0,      1.6,      2.6,      4.5,         ,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1953     ,      5.6,      6.1,      3.3,         ,      2.5,     -1.3,     -1.2,     -0.4,     -0.1,      1.3,      1.9,      3.3,         ,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1954     ,      6.5,      5.3,      3.6,      2.9,         ,         ,         ,     -0.3,      0.0,      1.7,      2.4,      4.9,         ,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1955     ,      5.8,      6.7,      4.4,      3.3,         ,     -0.9,     -0.5,     -0.3,      0.1,      1.7,      1.4,      5.1,         ,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1956     ,      5.4,      8.8,      7.6,      4.5,      2.0,      0.2,     -1.1,     -0.6,      0.3,      1.2,      1.6,      2.7,      2.7,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1967     ,         ,         ,         ,         ,      0.2,      1.6,      0.4,     -0.2,      0.4,      1.6,      1.7,      3.0,         ,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1968     ,      5.0,      7.2,      6.3,      3.5,     -0.5,      0.0,      0.0,     -0.1,      0.4,      1.1,      2.0,      4.0,      2.4,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1969     ,      5.8,      8.8,      6.2,      3.7,      2.1,     -0.7,      0.9,      0.8,     -0.7,      1.5,      4.5,      3.6,      3.0,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1970     ,      7.0,      5.2,      6.0,      5.0,      0.8,      0.2,     -0.3,     -1.2,     -1.7,      0.6,      3.8,      4.4,      2.5,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1971     ,      7.3,      8.5,      7.2,      4.7,      2.1,      0.2,      0.0,     -0.4,      0.9,      1.3,      2.7,      4.8,      3.3,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1972     ,      6.5,      9.3,      4.6,      4.5,      2.1,      0.3,     -0.7,      0.4,      1.6,      1.7,      3.1,      4.5,      3.2,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1973     ,      6.1,      7.5,      4.8,      4.6,      3.4,     -1.1,      0.3,     -0.4,      1.4,      3.4,      3.1,      6.4,      3.3,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1974     ,      7.3,      6.9,      8.5,      4.6,      2.3,      1.6,     -0.2,     -0.4,      0.9,      2.3,      2.2,      4.2,      3.4,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1975     ,      4.4,      6.1,      4.6,      2.8,      2.0,      0.8,      0.9,      0.5,      1.0,      2.2,      4.9,      5.1,      2.9,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1976     ,      6.3,      7.8,      5.6,      4.0,      1.6,      0.9,     -0.6,     -0.7,      1.1,      1.1,      4.0,      4.4,      3.0,QC,#
dx, 96005,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1977     ,      6.9,      6.2,      7.2,      3.1,      1.5,         ,         ,         ,         ,         ,         ,         ,         ,QC,#
#
Monthly summary for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Statistic description,January,February,March,April,May,June,July,August,September,October,November,December,Annual,#
dx, 96005,Highest monthly temperature in degrees C                                                                                                                                                                ,Insufficient data available for statistics production                 ,#
dx, 96005,Lowest monthly temperature in degrees C                                                                                                                                                                 ,Insufficient data available for statistics production                 ,#
dx, 96005,Mean daily maximum temperature in degrees C calculated using available data between 1926 and 1977                                                                                                       ,Average                            ,     16.7,     17.0,     14.4,     10.8,      7.9,      5.1,      4.6,      4.9,      7.5,     10.5,     12.8,     15.2,     10.5,#
dx, 96005,Mean daily maximum temperature in degrees C calculated using available data between 1926 and 1977                                                                                                       ,Highest                            ,     21.6,     20.4,     17.1,     13.9,      9.8,      6.9,      6.1,      6.7,      9.3,     13.0,     17.4,     19.1,     11.8,#
dx, 96005,Mean daily maximum temperature in degrees C calculated using available data between 1926 and 1977                                                                                                       ,Lowest                             ,     12.9,     12.3,     10.4,      8.0,      5.5,      3.4,      3.4,      2.9,      5.3,      7.9,      8.3,     10.5,      9.6,#
dx, 96005,Mean daily minimum temperature in degrees C calculated using available data between 1926 and 1977                                                                                                       ,Average                            ,      5.2,      5.9,      4.7,      3.1,      1.5,     -0.2,     -0.2,     -0.5,      0.3,      1.5,      2.5,      4.1,      2.8,#
dx, 96005,Mean daily minimum temperature in degrees C calculated using available data between 1926 and 1977                                                                                                       ,Highest                            ,      8.1,      9.3,      8.5,      5.0,      3.4,      1.6,      1.4,      0.8,      1.6,      3.4,      4.9,      6.4,      3.4,#
dx, 96005,Mean daily minimum temperature in degrees C calculated using available data between 1926 and 1977                                                                                                       ,Lowest                             ,      3.2,      2.6,      1.9,      0.7,     -0.5,     -2.1,     -1.4,     -1.7,     -1.7,      0.6,      1.3,      2.4,      1.3,#
